F1,F2,F3,F4,F5,F6,F7,Target
1.40,b,1,44.0,high,6,1.7944,yes
5.54,b,1,34.0,low,6,1.3148,yes
1.09,c,0,30.0,low,6,-0.1097,no
6.72,b,0,,high,6,,no
2.81,b,0,42.0,low,3,,no
6.59,a,1,35.0,low,3,0.1212,yes
7.27,b,1,,low,3,0.1308,no
7.69,a,0,36.0,low,4,,yes
1.08,b,0,40.0,high,6,-0.0593,no
9.16,b,1,42.0,high,5,-0.7293,no
2.30,b,1,35.0,low,5,-0.4145,yes
0.37,b,,44.0,low,6,0.6339,yes
5.55,b,0,36.0,high,,0.0030,yes
3.71,,1,37.0,low,,0.3402,yes
8.30,b,,51.0,,4,0.6701,yes
,b,1,32.0,low,4,-0.3748,yes
,,0,22.0,low,,0.7562,yes
9.53,a,0,53.0,,5,,yes
2.91,a,0,60.0,low,,-1.2348,no
5.15,a,1,37.0,low,5,,yes
2.56,,1,25.0,high,4,-0.5007,yes
,b,0,38.0,low,5,,no
1.65,b,1,38.0,high,,-1.0450,yes
0.45,b,0,,low,4,-1.0210,no
4.35,b,0,31.0,low,4,0.0522,yes
9.92,c,0,45.0,low,2,-0.2739,yes
8.92,b,1,44.0,high,5,-0.3368,yes
7.49,b,0,28.0,high,6,0.6197,yes
8.91,b,1,46.0,low,5,0.3399,yes
8.93,b,0,56.0,low,6,0.3160,no
,a,,,low,6,0.4098,no
3.16,a,0,37.0,high,5,0.6161,yes
,c,1,39.0,low,4,-2.1080,yes
6.62,b,0,45.0,high,2,,yes
3.74,b,1,26.0,high,2,-2.1802,no
0.94,b,1,,high,3,0.0361,yes
7.47,b,0,37.0,,4,-0.0046,no
2.62,c,1,55.0,low,5,1.0455,no
9.37,,1,39.0,low,4,1.1876,yes
2.41,b,0,53.0,high,2,0.2028,yes
